Страна;Дата;Заражений;Выздоровлений;Смертей;Заражений за день;Выздоровлений за день;Смертей за день
Россия;28/04/2021;4732981;4360900;107547;7729;8251;380
Россия;25/07/2021;6049215;5424361;151352;23517;18543;769
Россия;08/06/2021;5086386;4697191;122409;9843;8778;372
Россия;28/01/2021;3752548;3194825;70533;18856;26455;562
Россия;04/07/2021;5544209;5009893;135637;24693;15350;650
Россия;23/07/2021;6002303;5384350;149796;23276;21926;784
Россия;10/04/2021;4580633;4209754;100949;8580;9472;395
Россия;30/09/2021;7401104;;203549;23330;;849
Россия;27/02/2021;4187166;3756808;84330;11409;15750;430
Россия;05/05/2021;4792354;4413678;110022;7857;7389;352
Россия;28/08/2021;6766667;;177679;18986;;775
Россия;29/03/2021;4477916;4099263;96413;8589;7248;290
Россия;20/11/2021;9135149;;257891;35896;;1222
Россия;20/10/2021;7969960;;222320;33162;;1006
Россия;08/12/2021;9722639;;279280;30228;;1149
Россия;03/11/2021;8494589;;237619;39357;;1157
Россия;07/03/2021;4274263;3867901;87614;10478;11501;361
Россия;01/02/2021;3825739;3282631;72456;17391;18020;427
Россия;22/08/2021;6653498;;173003;19977;;746
Россия;04/06/2021;5049210;4665909;120974;8820;8449;370
Россия;18/11/2021;9063318;;255448;36155;;1219
Россия;22/10/2021;8041581;;224369;36205;;1038
Россия;27/03/2021;4460348;4083438;95792;8783;10199;382
Россия;01/03/2021;4209850;3780195;85025;11450;11170;325
Россия;26/08/2021;6728699;;176127;19094;;799
Россия;07/05/2021;4808133;4429201;110735;8261;7872;369
Россия;30/01/2021;3790265;3244856;71556;18751;24205;502
Россия;02/06/2021;5031583;4648191;120217;8702;8882;387
Россия;24/08/2021;6690633;;174542;18260;;774
Россия;09/03/2021;4293750;3888071;88315;9342;9882;330
Россия;10/12/2021;9782723;;281571;30383;;1144
Россия;01/11/2021;8417305;;235318;39321;;1124
Россия;06/06/2021;5067246;4681664;121711;9025;7292;346
Россия;27/07/2021;6094379;5459932;152836;22486;19481;767
Россия;26/01/2021;3716228;3140930;69391;17982;23525;550
Россия;30/04/2021;4750755;4377504;108290;8613;8290;388
Россия;22/12/2021;10114983;;294322;25038;;993
Россия;18/09/2021;7150244;;193891;19999;;780
Россия;02/10/2021;7449689;;205297;24632;;873
Россия;08/04/2021;4563026;4190701;100158;8545;9456;358
Россия;21/07/2021;5955089;5340283;148229;23164;22221;772
Россия;06/07/2021;5591030;5042516;137005;22926;18148;726
Россия;08/05/2021;4816331;4437289;111097;8198;8088;362
Россия;25/08/2021;6709605;;175328;18972;;786
Россия;28/02/2021;4198400;3769025;84700;11234;12217;370
Россия;26/03/2021;4451565;4073239;95410;9073;10793;400
Россия;17/11/2021;9027163;;254229;35415;;1220
Россия;23/10/2021;8078309;;225417;36728;;1048
Россия;09/12/2021;9752340;;280427;29701;;1147
Россия;02/11/2021;8455232;;236462;37927;;1144
Россия;08/03/2021;4284408;3878189;87985;10145;10288;371
Россия;23/08/2021;6672373;;173768;18875;;765
Россия;03/06/2021;5040390;4657460;120604;8807;9269;387
Россия;29/01/2021;3771514;3220651;71054;18966;25826;521
Россия;21/12/2021;10089945;;293329;25655;;998
Россия;19/09/2021;7170069;;194671;19825;;780
Россия;29/04/2021;4742142;4369214;107902;9161;8314;355
Россия;25/01/2021;3698246;3117405;68841;18999;18900;444
Россия;26/07/2021;6071893;5440451;152069;22678;16090;717
Россия;07/06/2021;5076543;4688413;122037;9297;6749;326
Россия;07/07/2021;5614540;5062325;137718;23510;19809;713
Россия;20/07/2021;5931925;5318062;147457;23234;21812;771
Россия;07/04/2021;4554481;4181245;99800;8174;9297;369
Россия;03/10/2021;7474850;;206179;25161;;882

